08/27/1856,05/14/1901
01/01/1847,01/01/1910
01/01/1844,01/01/1924
01/01/1825,01/01/1896
01/01/1866,01/01/1917
01/01/1868,01/01/1943
01/01/1904,01/01/1939
01/01/1869,01/01/1887
09/29/1928,09/22/1952
01/01/1887,01/01/1960
01/01/1879,01/01/1942
01/01/1882,01/01/1906
01/01/1854,01/01/1924
01/01/1884,01/01/1907
01/01/1850,01/01/1925
04/15/1992,04/15/1992
01/01/1876,01/01/1935
01/01/1880,01/01/1039
01/01/1907,01/01/1962
01/01/1885,01/01/1952
01/01/1915,01/01/1945
01/01/1866,01/01/1948
01/01/1853,01/01/1914
01/01/1853,01/01/1929
07/06/1941,03/23/2001
01/01/1895,01/01/1896
01/01/1855,01/01/1923
01/01/1839,01/01/1919
01/01/1882,01/01/1966
01/01/1892,01/01/1946
01/01/1844,01/01/1923
01/01/1846,01/01/1912
01/01/1878,01/01/1949
01/01/1879,01/01/1923
01/01/1855,01/01/1931
01/01/1843,01/01/1901
09/11/1846,01/29/1922
01/01/1852,01/01/1958
01/01/1852,01/01/1922
08/07/1912,12/22/2001
04/28/1909,06/02/1993
01/01/1877,01/01/1960
10/31/1841,03/16/1908
01/01/1860,01/01/1892
01/01/1828,01/01/1913
10/30/1859,08/09/1875
01/01/1869,01/01/1911
01/01/1874,01/01/1875
03/07/1866,03/02/1901
01/01/1851,01/01/1916
01/01/1827,01/01/1916
01/01/1835,01/01/1915
01/01/1863,01/01/1870
01/01/1810,01/01/1875
01/01/1865,01/01/1941
01/01/1839,01/01/1925
01/01/1851,01/01/1888
01/01/1860,01/01/1895
01/01/1898,01/01/1963
01/01/1904,01/01/1975
01/01/1873,01/01/1940
01/01/1863,01/01/1953
06/16/1846,03/28/1885
01/01/1845,01/01/1926
01/01/1853,01/01/1910
01/01/1873,01/01/1939
01/01/1869,01/01/1942
01/01/1864,01/01/1916
01/01/1920,01/01/1995
01/01/1837,01/01/1894
01/01/1845,01/01/1893
07/24/1951,07/16/1952
01/01/1880,01/01/1950
01/01/1873,01/01/1943
01/01/1841,01/01/1919
01/01/1838,01/01/1896
01/01/1877,01/01/1943
01/01/1886,01/01/1972
05/07/1880,03/23/1929
01/01/1851,01/01/1916
01/01/1882,01/01/1945
01/01/1849,01/01/1920
01/01/1839,01/01/1906
01/01/1851,01/01/1924
01/01/1838,01/01/1895
01/01/1891,01/01/1946
01/01/1882,01/01/1948
02/08/1804,07/08/1889
01/18/1833,05/18/1895
01/12/1830,11/26/1882
05/08/1855,07/27/1874
01/01/1912,01/01/1955
01/01/1857,01/01/1946
01/01/1866,01/01/1917
01/01/1878,01/01/1954
01/01/1877,01/01/1921
01/01/1868,01/01/1881
01/01/1877,01/01/1881
01/01/1873,01/01/1887
04/15/1897,08/29/1962
01/01/1884,01/01/1944
08/24/1961,09/04/2002
02/16/1929,12/23/1997
01/01/1880,01/01/1942
01/01/1938,01/01/1967
01/01/1853,01/01/1916
01/01/1850,01/01/1922
01/01/1888,01/01/1959
01/01/1816,01/01/1889
01/01/1890,01/01/1942
01/01/1817,01/01/1906
01/01/1841,01/01/1864
01/01/1872,01/01/1961
01/01/1927,01/01/1977
01/01/1907,01/01/1980
01/01/1869,01/01/1944
01/01/1843,01/01/1918
01/01/1977,01/01/1883
01/01/1850,01/01/1925
01/01/1883,01/01/1958
01/01/1861,01/01/1899
01/01/1850,01/01/1928
01/01/1853,01/01/1943
01/01/1860,01/01/1908
01/01/1866,01/01/1943
01/01/1864,01/01/1892
01/01/1855,01/01/1877
01/01/1889,01/01/1915
01/01/1846,01/01/1926
01/01/1850,01/01/1928
01/01/1822,01/01/1894
01/01/1869,01/01/1906
01/01/1829,01/01/1904
07/01/1849,10/01/1921
01/01/1829,01/01/1897
01/01/1852,01/01/1925
01/01/1852,01/01/1921
01/01/1880,01/01/1951
01/01/1914,01/01/1975
01/01/1914,01/01/1969
01/01/1872,01/01/1943
01/01/1842,01/01/1920
01/01/1846,01/01/1919
01/01/1878,01/01/1951
01/01/1883,01/01/1947
01/01/1883,01/01/1949
01/01/1868,01/01/1933
01/01/1905,01/01/1931
01/01/1863,01/01/1949
01/01/1857,01/01/1949
01/01/1870,01/01/1946
01/01/1874,01/01/1944
02/12/1821,08/19/1891
06/21/1849,01/03/1890
03/18/1840,11/11/1860
01/01/1821,01/01/1900
06/28/1848,09/30/1903
07/16/1866,08/06/1866
10/15/1819,09/14/1875
01/01/1909,01/01/1963
01/01/1899,01/01/1938
01/01/1865,01/01/1920
01/01/1869,01/01/1928
07/29/1874,12/05/1948
02/27/1893,11/22/1917
03/09/1860,12/03/1911
09/25/1880,06/18/1881
01/01/1870,01/01/1935
04/05/1821,01/22/1894
01/01/1877,01/01/1886
01/01/1858,01/01/1886
01/01/1860,01/01/1903
03/02/1874,06/14/1878
02/10/1840,02/08/1897
01/01/1871,01/01/1967
01/01/1863,01/01/1928
01/01/1844,01/01/1925
11/11/1848,07/04/1918
01/01/1874,01/01/1946
01/01/1909,01/01/1933
01/01/1865,01/01/1937
01/01/1895,01/01/1952
01/01/1846,01/01/1917
01/01/1860,01/01/1903
10/02/1871,07/01/1872
04/12/1817,10/19/1887
01/01/1916,01/01/1920
01/01/1865,01/01/1935
01/01/1882,01/01/1946
01/01/1864,01/01/1951
01/01/1891,01/01/1931
02/05/1798,08/18/1875
01/01/1867,01/01/1946
01/01/1866,01/01/1927
01/01/1833,01/01/1917
01/01/1809,01/01/1880
01/01/1873,01/01/1958
01/01/1880,01/01/1946
01/01/1881,01/01/1954
01/01/1882,01/01/1916
01/01/1807,01/01/1880
01/01/1798,01/01/1888
01/01/1882,01/01/1941
01/01/1888,01/01/1900
01/01/1900,01/01/1985
01/01/1823,01/01/1904
01/01/1848,01/01/1927
01/01/1864,01/01/1893
01/01/1885,01/01/1885
01/01/1877,01/01/1878
01/01/1888,01/01/1945
01/01/1915,01/01/1920
01/01/1886,01/01/1965
01/01/1850,01/01/1920
01/01/1881,01/01/1882
01/01/1846,01/01/1916
01/01/1890,01/01/1962
01/01/1889,01/01/1950
01/01/1867,01/01/1942
01/01/1865,01/01/1941
07/05/1840,03/08/1864
01/01/1864,01/01/1938
01/01/1846,01/01/1921
01/01/1842,01/01/1907
01/01/1912,01/01/1939
01/01/1844,01/01/1927
01/01/1909,01/01/1958
01/01/1880,01/01/1964
01/01/1847,01/01/1900
01/01/1874,01/01/1952
01/01/1848,01/01/1883
01/01/1917,01/01/1943
04/05/1857,05/22/1909
11/03/1862,06/03/1889
01/01/1868,01/01/1913
01/01/1875,01/01/1956
01/01/1850,01/01/1932
01/01/1840,01/01/1891
01/01/1872,01/01/1955
01/01/1874,01/01/1963
04/12/1874,07/17/1883
06/19/1848,03/26/1865
02/16/1966,12/02/1997
05/15/1837,10/31/1907
03/18/1865,01/14/1880
01/01/1838,05/15/1886
01/17/1823,03/23/1904
01/01/1864,01/01/1927
01/01/1858,01/01/1938
01/01/1858,01/01/1925
01/01/1859,01/01/1926
01/01/1879,01/01/1940
01/01/1885,01/01/1960
05/01/1847,08/05/1904
01/01/1837,01/01/1913
01/01/1823,01/01/1896
01/01/1848,01/01/1936
01/01/1846,01/01/1928
01/01/1820,01/01/1903
07/30/1859,06/17/1879
01/01/1868,01/01/1949
01/01/1857,01/01/1924
01/01/1839,01/01/1898
01/01/1894,01/01/1948
01/01/1895,01/01/1954
06/30/1858,01/14/1902
01/01/1867,01/01/1928
01/01/1876,01/01/1941
01/01/1883,01/01/1932
01/01/1883,01/01/1941
01/01/1846,01/01/1904
01/01/1839,01/01/1902
07/14/1885,07/20/1885
05/16/1881,06/04/1895
01/01/1857,01/01/1926
01/01/1853,01/01/1937
01/01/1870,01/01/1952
01/01/1862,01/01/1935
01/01/1858,01/01/1939
01/01/1823,01/01/1918
01/01/1857,01/01/1934
01/01/1852,01/01/1929
01/01/1892,01/01/1898
01/01/1825,01/01/1904
01/01/1929,01/01/1963
01/01/1867,01/01/1931
01/01/1857,01/01/1919
01/01/1869,01/01/1941
01/01/1863,01/01/1928
01/01/1861,01/01/1938
01/01/1858,01/01/1907
01/01/1892,01/01/1917
01/01/1868,01/01/1939
01/01/1855,01/01/1943
01/01/1864,01/01/1943
01/01/1894,01/01/1900
01/01/1866,01/01/1936
01/01/1873,01/01/1950
01/01/1881,01/01/1904
01/01/1846,01/01/1929
01/01/1849,01/01/1910
01/01/1873,01/01/1953
01/01/1873,01/01/1958
01/01/1838,01/01/1911
01/01/1852,01/01/1919
01/01/1874,01/01/1905
01/01/1876,01/01/1926
01/01/1846,01/01/1914
01/01/1860,01/01/1940
01/01/1854,01/01/1916
01/01/1883,01/01/1907
01/01/1850,01/01/1929
01/01/1906,01/01/1985
01/01/1825,01/01/1905
01/01/1892,01/01/1966
01/01/1869,01/01/1946
01/01/1862,01/01/1936
01/01/1839,01/01/1923
01/01/1866,01/01/1927
01/01/1888,01/01/1889
01/01/1965,01/01/1994
01/01/1931,01/01/1954
01/01/1844,01/01/1914
01/01/1841,01/01/1908
01/01/1849,01/01/1921
01/01/1847,01/01/1923
01/01/1844,01/01/1907
01/01/1853,01/01/1941
01/01/1851,01/01/1925
01/01/1839,01/01/1917
01/01/1841,01/01/1924
01/01/1882,01/01/1951
01/01/1904,01/01/1968
01/01/1899,01/01/1926
01/01/1865,01/01/1956
01/01/1865,01/01/1938
01/01/1908,01/01/1924
01/01/1898,01/01/1969
01/01/1869,01/01/1929
01/01/1873,01/01/1948
03/24/1869,06/24/1886
01/01/1842,01/01/1906
01/01/1881,01/01/1967
01/01/1838,01/01/1912
01/01/1869,01/01/1962
01/01/1875,01/01/1966
01/01/1887,01/01/1984
01/01/1896,01/01/1948
03/01/1844,07/16/1912
11/12/1843,08/28/1892
01/01/1864,01/01/1935
01/01/1882,01/01/1926
01/01/1866,01/01/1918
01/01/1892,01/01/1919
01/01/1899,01/01/1968
01/01/1886,01/01/1962
01/01/1905,01/01/1979
01/01/1911,01/01/1965
10/25/1976,10/24/1998
01/01/1813,01/01/1872
01/01/1856,01/01/1895
01/01/1833,01/01/1920
01/01/1852,01/01/1923
01/01/1854,01/01/1927
01/01/1888,01/01/1915
01/01/1850,01/01/1914
03/06/1845,07/28/1902
01/01/1839,01/01/1889
09/10/1871,11/29/1891
01/01/1873,01/01/1956
08/25/1864,12/21/1908
12/01/1838,12/01/1908
01/01/1876,01/01/1877
01/01/1846,01/01/1917
01/01/1869,01/01/1959
01/01/1841,01/01/1922
01/01/1872,01/01/1877
01/01/1887,01/01/1888
01/01/1859,01/01/1933
01/01/1895,01/01/1922
01/01/1851,01/01/1911
01/01/1851,01/01/1935
01/01/1892,01/01/1919
01/01/1897,01/01/1898
01/01/1877,01/01/1879
01/01/1876,01/01/1876
01/01/1883,01/01/1915
01/01/1874,01/01/1875
01/01/1860,01/01/1940
01/01/1884,01/01/1931
01/01/1932,01/01/1964
01/01/1846,01/01/1871
01/01/1883,01/01/1969
01/01/1883,01/01/1969
01/01/1877,01/01/1931
01/01/1845,01/01/1923
01/01/1837,01/01/1922
01/01/1840,01/01/1918
01/01/1834,01/01/1877
01/01/1843,01/01/1936
01/01/1838,01/01/1883
01/01/1839,01/01/1916
01/01/1842,01/01/1886
01/01/1912,01/01/1945
01/01/1912,01/01/1945
01/01/1896,01/01/1901
01/01/1869,01/01/1887
01/01/1815,01/01/1890
01/01/1925,01/01/1995
01/01/1832,01/01/1905
01/01/1869,01/01/1870
01/01/1876,01/01/1924
01/01/1831,01/01/1903
01/01/1869,01/01/1954
01/01/1858,01/01/1939
01/01/1866,01/01/1926
01/01/1864,01/01/1922
01/01/1854,01/01/1934
01/01/1883,01/01/1934
01/01/1841,01/01/1913
01/01/1856,01/01/1913
01/01/1858,01/01/1935
01/01/1889,01/01/1980
01/01/1883,01/01/1960
01/01/1879,01/01/1938
01/01/1858,01/01/1883
01/01/1851,01/01/1926
01/01/1856,01/01/1923
01/01/1832,01/01/1910
01/01/1829,01/01/1896
01/01/1846,01/01/1916
01/01/1849,01/01/1927
01/01/1856,01/01/1911
01/01/1834,01/01/1907
01/01/1824,01/01/1917
01/01/1870,01/01/1883
01/01/1873,01/01/1874
01/01/1864,01/01/1865
01/01/1843,01/01/1890
01/01/1845,01/01/1911
01/01/1880,01/01/1962
06/24/1847,12/26/1893
06/22/1904,07/31/1932
05/14/1865,01/11/1928
10/10/1844,01/20/1918
01/01/1837,01/01/1899
01/01/1877,01/01/1889
03/04/1840,03/28/1907
01/01/1887,12/18/1969
01/01/1831,01/01/1905
01/01/1863,01/01/1922
01/01/1871,01/01/1938
01/01/1876,01/01/1948
01/01/1899,01/01/1933
01/01/1872,01/01/1962
01/01/1879,01/01/1964
01/01/1892,01/01/1959
10/09/1927,07/01/2003
02/02/1935,12/01/1996
01/01/1815,01/01/1890
01/01/1827,01/01/1902
01/01/1905,01/01/1986
01/01/1873,01/01/1941
01/01/1863,01/01/1939
01/01/1858,01/01/1920
01/01/1861,01/01/1917
01/01/1860,01/01/1938
01/01/1868,01/01/1955
01/01/1875,01/01/1909
01/01/1846,01/01/1909
01/01/1840,01/01/1920
01/01/1878,01/01/1881
01/01/1864,01/01/1943
01/01/1899,01/01/1908
01/01/1843,01/01/1916
01/01/1839,01/01/1919
01/01/1866,01/01/1953
04/04/1848,07/23/1921
10/10/1844,10/24/1924
09/01/1827,12/24/1905
03/18/1865,04/21/1874
01/01/1872,01/01/1949
01/01/1875,01/01/1941
01/01/1850,01/01/1923
01/01/1882,01/01/1885
01/01/1888,01/01/1889
01/01/1885,01/01/1937
01/01/1928,01/01/1940
01/01/1857,01/01/1895
01/01/1857,01/01/1926
01/01/1877,01/01/1928
01/01/1872,01/01/1921
10/25/1800,03/12/1886
05/30/1831,11/20/1893
01/01/1833,01/01/1912
02/27/1808,10/26/1876
01/01/1861,01/01/1947
01/01/1863,01/01/1922
06/09/1830,03/08/1913
01/01/1856,01/01/1915
01/01/1856,01/01/1931
01/01/1869,01/01/1938
01/01/1871,01/01/1934
01/01/1857,01/01/1901
01/01/1860,01/01/1926
01/01/1853,01/01/1898
01/01/1829,01/01/1896
01/01/1853,01/01/1922
01/01/1869,01/01/1870
01/01/1808,01/01/1880
01/01/1881,01/01/1881
01/01/1851,01/01/1851
01/01/1849,01/01/1849
01/01/1886,01/01/1958
06/29/1877,07/28/1877
01/05/1882,09/08/1901
01/01/1902,01/01/1983
01/01/1846,01/01/1895
01/01/1844,01/01/1915
01/01/1897,01/01/1950
01/01/1843,01/01/1924
01/01/1856,01/01/1936
01/01/1832,01/01/1913
01/01/1867,01/01/1893
01/01/1855,01/01/1929
01/01/1880,01/01/1925
01/01/1901,01/01/1959
01/01/1849,01/01/1931
01/01/1852,01/01/1885
01/01/1829,01/01/1884
01/01/1860,01/01/1911
01/01/1829,01/01/1882
01/01/1859,01/01/1949
01/01/1881,01/01/1949
05/08/1852,02/09/1993
03/03/1830,02/09/1883
01/01/1867,01/01/1935
01/01/1861,01/01/1923
12/06/1826,01/28/1906
04/21/1826,11/11/1901
01/01/1842,01/01/1923
01/01/1838,01/01/1911
01/14/1840,10/03/1887
01/01/1865,01/01/1942
01/01/1850,01/01/1909
11/16/1915,12/30/1993
01/01/1943,01/01/1943
01/01/1940,01/01/1941
01/01/1886,01/01/1957
01/01/1869,01/01/1936
01/01/1867,01/01/1943
06/22/1949,01/29/2003
01/01/1850,01/01/1916
03/05/1870,05/08/1945
01/01/1899,01/01/1961
01/01/1863,01/01/1907
02/27/1868,03/09/1935
01/01/1895,01/01/1899
02/12/1872,02/08/1937
01/01/1877,01/01/1934
01/01/1877,01/01/1939
01/01/1843,01/01/1873
01/01/1848,01/01/1910
01/01/1881,01/01/1885
01/01/1859,01/01/1890
01/01/1888,01/01/1921
01/01/1876,01/01/1943
01/01/1872,01/01/1930
01/01/1874,01/01/1920
01/01/1834,01/01/1901
01/01/1841,01/01/1915
01/01/1869,01/01/1943
01/01/1840,01/01/1875
01/01/1860,01/01/1874
01/01/1864,01/01/1932
01/01/1849,01/01/1913
01/01/1843,01/01/1920
01/01/1844,01/01/1908
01/01/1884,01/01/1969
01/01/1881,01/01/1959
01/01/1834,01/01/1881
01/01/1828,01/01/1905
10/22/1853,03/03/1912
01/01/1877,01/01/1927
01/01/1925,01/01/1949
01/01/1902,01/01/1940
01/01/1867,01/01/1943
01/01/1896,01/01/1958
01/01/1898,01/01/1935
01/01/1868,01/01/1942
01/01/1875,01/01/1942
01/01/1900,01/01/1918
01/01/1837,01/01/1899
01/01/1837,01/01/1898
01/01/1860,01/01/1913
05/27/1885,03/21/1903
01/01/1873,01/01/1928
01/01/1863,01/01/1941
01/01/1829,01/01/1919
01/01/1967,01/01/1952
01/01/1876,01/01/1877
01/01/1858,01/01/1937
01/01/1855,01/01/1856
01/01/1823,01/01/1919
01/01/1862,01/01/1944
01/01/1852,01/01/1904
01/01/1888,01/01/1960
01/01/1884,01/01/1960
01/01/1845,01/01/1919
05/08/1831,05/22/1904
11/05/1824,07/20/1896
01/01/1831,01/01/1900
01/01/1854,01/01/1931
01/01/1861,01/01/1914
01/01/1833,01/01/1923
01/01/1862,01/01/1893
01/01/1873,01/01/1879
01/01/1842,01/01/1932
01/01/1817,01/01/1909
01/01/1869,01/01/1948
01/01/1898,01/01/1919
01/01/1891,01/01/1899
01/01/1895,01/01/1899
01/01/1867,01/01/1939
01/01/1861,01/01/1900
01/01/1839,01/01/1915
01/01/1884,01/01/1961
01/01/1859,01/01/1920
01/01/1835,01/01/1915
01/01/1871,01/01/1947
01/01/1880,01/01/1961
01/01/1917,01/01/1919
01/01/1854,01/01/1927
01/01/1922,01/01/1924
01/01/1920,01/01/1921
01/01/1861,01/01/1883
01/01/1828,01/01/1867
01/01/1855,01/01/1942
01/01/1882,01/01/1927
01/01/1853,01/01/1914
01/01/1903,01/01/1904
01/01/1888,01/01/1935
08/25/1837,04/04/1903
01/01/1874,01/01/1905
02/11/1879,04/04/1880
12/13/1882,06/12/1902
07/01/1845,06/15/1898
01/01/1833,01/01/1920
01/01/1863,01/01/1855
01/01/1823,01/01/1901
01/01/1880,01/01/1918
11/09/1828,09/24/1886
09/25/1833,06/26/1889
08/07/1865,12/11/1893
04/12/1810,03/12/1886
01/16/1871,06/25/1892
01/01/1826,01/01/1906
02/16/1816,11/07/1877
08/12/1839,06/23/1874
08/09/1841,05/26/1907
11/12/1842,01/10/1914
01/01/1867,01/01/1930
01/01/1893,01/01/1967
01/01/1870,01/01/1951
01/01/1813,01/01/1906
01/01/1859,01/01/1927
01/01/1882,01/01/1951
01/01/1874,01/01/1943
01/01/1902,01/01/1908
01/01/1870,01/01/1930
01/01/1896,01/01/1901
01/01/1872,01/01/1958
01/01/1881,01/01/1899
01/01/1846,01/01/1885
01/01/1871,01/01/1954
01/01/1846,01/01/1945
01/01/1872,01/01/1937
01/01/1889,01/01/1979
01/01/1888,01/01/1920
01/01/1918,01/01/1964
01/01/1858,01/01/1935
01/01/1837,01/01/1901
06/10/1883,12/13/1894
09/08/1812,04/15/1887
08/19/1807,11/07/1887
01/01/1884,01/01/1959
01/01/1884,01/01/1958
01/01/1907,01/01/1993
12/28/1872,05/10/1898
11/29/1829,12/30/1901
09/07/1829,02/02/1877
01/01/1887,01/01/1950
01/01/1916,01/01/1969
03/03/1890,03/09/1892
01/01/1877,01/01/1949
12/31/1836,02/28/1915
08/19/1845,09/09/1941
01/01/1869,01/01/1927
01/01/1893,01/01/1948
01/01/1914,01/01/1955
01/01/1891,01/01/1972
01/01/1915,01/01/1950
01/01/1965,01/01/1945
01/01/1896,01/01/1898
01/01/1860,01/01/1922
01/01/1860,01/01/1937
01/01/1883,01/01/1898
01/01/1875,01/01/1949
01/01/1861,01/01/1922
01/01/1891,01/01/1918
01/01/1860,01/01/1929
01/01/1835,01/01/1901
01/01/1832,01/01/1880
01/01/1878,01/01/1942
01/01/1880,01/01/1951
01/01/1879,01/01/1936
03/08/1839,12/01/1899
11/21/1887,11/26/1887
03/08/1839,12/15/1899
11/21/1887,11/26/1887
01/01/1869,01/01/1936
01/01/1867,01/01/1936
01/01/1883,01/01/1949
01/01/1887,01/01/1966
01/01/1888,01/01/1966
01/01/1873,01/01/1960
01/01/1909,01/01/1958
01/01/1874,01/01/1943
01/01/1906,01/01/1923
01/01/1883,01/01/1969
01/01/1880,01/01/1929
08/22/1837,07/21/1873
01/01/1856,01/01/1915
01/01/1844,01/01/1908
01/01/1824,01/01/1901
01/01/1856,01/01/1861
01/01/1851,01/01/1905
01/01/1845,01/01/1911
01/01/1817,01/01/1863
01/01/1860,01/01/1918
01/01/1886,01/01/1891
01/01/1888,01/01/1936
01/01/1855,01/01/1940
01/01/1899,01/01/1955
01/01/1848,01/01/1913
01/01/1819,01/01/1882
01/01/1822,01/01/1890
01/01/1903,01/01/1980
01/01/1880,01/01/1950
01/01/1850,01/01/1877
01/01/1835,01/01/1902
01/01/1864,01/01/1904
01/01/1876,01/01/1949
01/01/1852,01/01/1929
01/01/1854,01/01/1921
01/01/1877,01/01/1954
01/01/1836,01/01/1914
01/01/1811,03/03/1895
01/01/1860,01/01/1930
11/15/1875,03/07/1896
01/01/1853,01/01/1912
01/01/1833,01/01/1916
01/01/1868,01/01/1914
01/01/1882,01/01/1936
01/01/1858,01/01/1932
01/01/1864,01/01/1935
01/01/1886,01/01/1947
01/01/1851,01/01/1882
01/01/1807,01/01/1899
01/01/1810,01/01/1899
01/01/1859,01/01/1916
01/01/1834,01/01/1910
01/01/1834,01/01/1879
01/01/1853,01/01/1914
01/01/1879,01/01/1947
01/01/1880,01/01/1944
01/01/1850,01/01/1927
01/01/1854,01/01/1920
01/01/1835,01/01/1915
01/01/1823,01/01/1881
01/01/1801,01/01/1894
01/01/1843,01/01/1911
01/01/1851,01/01/1937
01/01/1845,01/01/1919
06/06/1839,05/22/1886
02/10/1860,07/13/1914
08/11/1817,03/21/1890
01/01/1934,01/01/1985
01/01/1904,01/01/1947
01/01/1860,01/01/1904
01/01/1840,01/01/1917
01/01/1850,01/01/1925
01/01/1869,01/01/1910
01/01/1906,01/01/1951
01/01/1880,01/01/1946
01/01/1884,01/01/1933
01/01/1873,01/01/1935
01/01/1859,01/01/1928
01/01/1843,01/01/1925
01/01/1845,01/01/1939
01/01/1844,01/01/1889
01/01/1819,01/01/1881
01/01/1842,01/01/1912
01/01/1912,01/01/1995
08/28/1828,10/18/1913
12/17/1843,04/17/1914
01/01/1957,01/01/1957
01/01/1879,01/01/1921
01/01/1861,01/01/1927
01/01/1860,01/01/1932
01/01/1897,01/01/1959
01/01/1904,01/01/1937
01/01/1853,01/01/1944
01/01/1885,01/01/1901
01/01/1859,01/01/1925
03/18/1886,07/20/1886
02/15/1888,09/27/1944
02/02/1845,12/28/1916
01/21/1845,01/08/1917
01/01/1914,01/01/1982
01/01/1848,01/01/1915
01/01/1845,01/01/1915
01/01/1876,01/01/1954
01/01/1876,01/01/1933
01/01/1851,01/01/1921
01/01/1854,01/01/1913
01/01/1881,01/01/1939
01/01/1878,01/01/1948
01/01/1883,01/01/1956
01/01/1850,01/01/1904
01/01/1848,01/01/1927
01/01/1863,01/01/1928
01/01/1866,01/01/1951
01/01/1858,01/01/1897
01/01/1832,01/01/1906
01/01/1825,01/01/1913
11/20/1872,02/21/1948
01/05/1885,02/05/1935
01/01/1862,01/01/1913
01/01/1872,01/01/1942
01/01/1874,01/01/1927
01/01/1902,01/01/1920
01/01/1872,01/01/1959
01/01/1892,01/01/1963
10/22/1823,07/03/1887
01/01/1878,01/01/1930
01/01/1896,01/01/1947
01/01/1881,01/01/1929
01/01/1804,01/01/1893
01/01/1846,01/01/1911
01/01/1888,01/01/1940
01/01/1800,01/01/1876
01/01/1893,01/01/1944
01/01/1871,01/01/1911
01/01/1901,01/01/1951
01/01/1872,01/01/1914
01/01/1897,01/01/1897
01/01/1882,01/01/1957
01/01/1883,01/01/1939
01/01/1879,01/01/1945
01/01/1870,01/01/1933
01/01/1843,01/01/1892
01/01/1846,01/01/1916
01/01/1872,01/01/1878
01/26/1886,03/31/1966
01/01/1858,01/01/1917
01/01/1844,01/01/1921
01/01/1863,01/01/1961
01/01/1882,01/01/1935
01/01/1835,01/01/1914
01/01/1835,01/01/1916
01/01/1886,01/01/1916
01/01/1828,01/01/1889
01/01/1856,01/01/1892
01/01/1826,01/01/1903
12/02/1847,11/27/1934
03/06/1843,09/09/1906
01/01/1893,01/01/1936
01/01/1852,01/01/1923
04/12/1874,12/03/1895
01/01/1860,01/01/1919
01/01/1855,01/01/1944
01/02/1909,08/21/1992
01/01/1882,01/01/1958
01/01/1883,01/01/1918
12/19/1913,07/24/1944
05/20/1877,11/24/1881
11/13/1841,09/03/1889
10/26/1868,01/28/1874
01/01/1848,01/01/1930
01/01/1881,01/01/1962
01/01/1820,01/01/1888
01/01/1822,01/01/1895
01/01/1871,01/01/1951
01/01/1869,01/01/1957
01/01/1901,01/01/1926
01/01/1902,01/01/1942
01/01/1837,01/01/1930
01/01/1836,01/01/1918
